Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Al Taawoun vs Al Ittihad - Roshn Saudi League Season Round 19,Book your seat for the Al Taawoun vs Al Ittihad - Roshn Saudi League Season Round 19 on webook.com. Secure your tickets now for an unforgettable matchday experience!,Buraydah,Adults,30 SAR per person,2/6/2025,2/6/2025,6:00 AM to 8:00 PM
Al Raed vs Al Okhdood - Roshn Saudi League Round 16,Book your seat for the Al Raed vs Al Okhdood Roshn Saudi League Round 16 on webook.com. Secure your tickets now for an unforgettable match day experience!,Buraydah,Adults,50 SAR per person,1/20/2025,1/20/2025,5:30 AM to 7:30 PM
Al Raed vs Al Nassr - Roshn Saudi League Round 18,Book your seat for the Al Raed vs Al Nassr Roshn Saudi League Round 18 on webook.com. Secure your tickets now for an unforgettable match day experience!,Buraydah,Above 15,20 SAR per person,1/30/2025,1/30/2025,7:00 AM to 9:00 PM
Al Raed vs Al Shabab - Roshn Saudi League Round 22,Book your seat for the Al Raed vs Al Shabab Roshn Saudi League Round 22 on webook.com. Secure your tickets now for an unforgettable match day experience!,Buraydah,Above 12,90 SAR per person,2/25/2025,2/25/2025,6:30 AM to 8:30 PM
Al Raed vs Al Fayha - Roshn Saudi League Round 20,Book your seat for the Al Raed vs Al Fayha Roshn Saudi League Round 20 on webook.com. Secure your tickets now for an unforgettable match day experience!,Buraydah,Above 12,Free Pass,2/15/2025,2/15/2025,5:00 AM to 6:00 PM
Al Okhdood vs Al Khaleej - Roshn Saudi League Round 17,Book your seat for the Al Okhdood vs Al Khaleej Roshn Saudi League Round 17 on webook.com. Secure your tickets now for an unforgettable match day experience!,Najran,All,Free Pass,1/25/2025,1/25/2025,6:00 AM to 7:00 PM
Al Okhdood vs Al Fateh - Roshn Saudi League Round 22,Book your seat for the Al Damac vs Al Fateh Roshn Saudi League Round 22 on webook.com. Secure your tickets now for an unforgettable match day experience!,Najran,Adults,70 SAR per person,2/24/2025,2/24/2025,5:00 AM to 7:00 PM
Al Qadsiah vs Al Raed - Roshn Saudi League - Round 19,Book Al Qadsiah VS Al Raed- Roshn Saudi League Match Week 19 tickets.,Dammam,All,20 SAR per person,2/6/2025,2/6/2025,6:00 AM to 8:00 PM
Al Qadsiah vs Al Okhdood - Roshn Saudi League - Round 21,Book Al Qadsiah VS Al Okhdood - Roshn Saudi League Match Week 21 tickets.,Dammam,Above 15,150 SAR per person,2/21/2025,2/21/2025,5:30 AM to 7:30 PM
Al Ettifaq vs Al Shabab - Roshn Saudi League Round 18,Book your seat for the Al Ettifaq vs Al Shabab Roshn Saudi League Round 18 on webook.com. Secure your tickets now for an unforgettable match day experience!,Dammam ,Adults,70 SAR per person,1/31/2025,1/31/2025,7:00 AM to 9:00 PM
Al Kholood vs Al Riyadh - Roshn Saudi League Round 19,Book your seat for the Al Kholood vs Al Riyadh Roshn Saudi League Round 19 on webook.com. Secure your tickets now for an unforgettable match day experience!,Al Qassim,Above 15,20 SAR per person,2/8/2025,2/8/2025,6:30 AM to 8:30 PM
Al Kholood vs Al Raed - Roshn Saudi League Round 17,Book your seat for the Al Kholood vs Al Raed Roshn Saudi League Round 17 on webook.com. Secure your tickets now for an unforgettable match day experience!,Al Qassim,All,70 SAR per person,1/25/2025,1/25/2025,5:00 AM to 6:00 PM
Al Taawoun vs Al Orobah - Roshn Saudi League Season Round 17,Book your seat for the Al Taawoun vs Al Orobah - Roshn Saudi League Season Round 17 on webook.com. Secure your tickets now for an unforgettable matchday experience!,Buraydah,Adults,40 SAR per person,1/26/2025,1/26/2025,6:00 AM to 7:00 PM
Al Shabab vs Al Qadisiyah - Roshn Saudi League Round 20,Book your seat for the Al Shabab vs Al Qadisiyah Roshn Saudi League Round 20 on webook.com. Secure your tickets now for an unforgettable match day experience! Tickets for people with disabilities: Click Here,Riyadh,Above 15,Free Pass,2/13/2025,2/13/2025,5:00 AM to 7:00 PM
Al Ettifaq vs Al Taawoun- Roshn Saudi League Round 22,Book your seat for the Al Ettifaq vs Al Taawoun Roshn Saudi League Round 22 on webook.com. Secure your tickets now for an unforgettable match day experience!,Dammam ,All,40 SAR per person,2/26/2025,2/26/2025,6:00 AM to 8:00 PM
Al Orobah vs Al Wehda - Roshn Saudi League Round 19,Book your seat now for the exciting Al Orobah vs Al Wehda Roshn Saudi League Round 19. Don’t miss out on this thrilling event! Secure your tickets on webook.com.,Al Jouf,Above 12,70 SAR per person,2/7/2025,2/7/2025,5:30 AM to 7:30 PM
Al Orobah vs Al Ahli - Roshn Saudi League Round 18,Book your seat now for the exciting Al Orobah vs Al Ahli Roshn Saudi League Round 18. Don’t miss out on this thrilling event! Secure your tickets on webook.com.,Al Jouf,Adults,30 SAR per person,1/30/2025,1/30/2025,7:00 AM to 9:00 PM
Al Orobah vs Al Qadisiyah - Roshn Saudi League Round 16,Book your seat now for the exciting Al Orobah vs Al Qadisiyah Roshn Saudi League Round 16. Don’t miss out on this thrilling event! Secure your tickets on webook.com.,Al Jouf,All,30 SAR per person,1/22/2025,1/22/2025,6:30 AM to 8:30 PM
Al Qadsiah vs Al Hilal - Roshn Saudi League - Round 17,Book Al Qadsiah VS Al Hilal - Roshn Saudi League Match Week 17 tickets.,Dammam,Adults,Free Pass,1/27/2025,1/27/2025,5:00 AM to 6:00 PM
Al Shabab vs Al Kaleej - Roshn Saudi League Round 19,Book your seat for the Al Shabab vs Al Kaleej Roshn Saudi League Round 19 on webook.com. Secure your tickets now for an unforgettable match day experience! Tickets for people with disabilities: Click Here,Riyadh,Above 15,50 SAR per person,2/6/2025,2/6/2025,6:00 AM to 7:00 PM
Al Ettifaq vs Al Fateh - Roshn Saudi League Round 20,Book your seat for the Al Ettifaq vs Al Fateh Roshn Saudi League Round 20 on webook.com. Secure your tickets now for an unforgettable match day experience!,Dammam ,Above 15,20 SAR per person,2/14/2025,2/14/2025,5:00 AM to 7:00 PM
Al-okhdood Season,Al Okhdood seasonal tickets that includes all matches to the end of the season.,Najran,Above 15,70 SAR per person,12/16/2024,5/31/2025,6:00 AM to 8:00 PM
Al Wehda vs Al Ettifaq - Roshn Saudi League - Round 17,Book your seat for the exciting clash between Al Wehda vs Al Ettifaq in the Roshn Saudi League Round 17. Secure tickets now on webook.com!,Mecca,Adults,70 SAR per person,1/25/2025,1/25/2025,5:30 AM to 7:30 PM
Al Riyadh vs Al Raed - Roshn Saudi League Round 21,Book your seat for the exciting clash between Al Riyadh vs Al Raed in the Roshn Saudi League Round 21. Secure tickets now on webook.com!,Riyadh,Above 15,30 SAR per person,2/20/2025,2/20/2025,7:00 AM to 9:00 PM
Al Riyadh vs Al Fayha - Roshn Saudi League Round 22,Book your seat for the exciting clash between Al Riyadh vs Al Fayha in the Roshn Saudi League Round 22. Secure tickets now on webook.com!,Riyadh,Adults,50 SAR per person,2/26/2025,2/26/2025,6:30 AM to 8:30 PM
Al Riyadh vs Al Wehda - Roshn Saudi League Round 18,Book your seat for the exciting clash between Al Riyadh vs Al Wehda in the Roshn Saudi League Round 18. Secure tickets now on webook.com!,Riyadh,Above 15,Free Pass,1/30/2025,1/30/2025,5:00 AM to 6:00 PM
Al Riyadh vs Al Taawon - Roshn Saudi League Round 16,Book your seat for the exciting clash between Al Riyadh vs Al Taawon in the Roshn Saudi League Round 16. Secure tickets now on webook.com!,Riyadh,All,50 SAR per person,1/21/2025,1/21/2025,6:00 AM to 7:00 PM
Al Awwal Park Tours,"Step into the world of champions with our exclusive Stadium Tours at Alawwal Park, the iconic home of Al Nassr FC. This guided experience offers football fans and sports enthusiasts a unique opportunity to explore behind the scenes of one of Riyadh’s most renowned stadiums.",Riyadh,All,Free Pass,10/30/2024,10/30/2024,5:00 AM to 7:00 PM
SKYWALKER,Dare to walk the wing! Test your balance and bravery on this Via-Ferrata-style course across the plane's wing and roof.,Riyadh,All,Free Pass,12/18/2024,2/15/2025,6:00 AM to 8:00 PM
The Al-Manqiah Experience,An interactive experience combining theoretical and physical challenges aimed at training participants to become knights of Al-Manqiah. Success depends on earning points by engaging in both individual and group challenges in a competitive environment that fosters team spirit and a sense of belonging.,Diriyah,Adults,50 SAR per person,1/17/2025,2/25/2025,5:30 AM to 7:30 PM
A Land Restored Experience,"An interactive journey that takes participants through a unique time machine to explore key milestones in the life of Imam Turki bin Abdullah. Over 45 to 60 minutes, participants move through three different zones, interact with characters, face challenges, and experience reenactments that creatively depict his stories.",Diriyah,Above 12,Free Pass,1/17/2025,2/25/2025,7:00 AM to 9:00 PM
Snow Village,"Experience the charm of winter in Riyadh at Snow Village! Enjoy festive carnival games, skate under the stars, capture memories in the Igloo House Photobooth, and take a whimsical ride through the Penguin Tunnel. A complete winter-themed adventure awaits!",Riyadh,All,Free Pass,12/13/2024,2/1/2025,6:30 AM to 8:30 PM
EMERGENCY DROP,"Slide to safety! Enjoy a fun escape on the custom-made inflatable exit slide, adding a thrilling twist to your adventure.",Riyadh,Adults,20 SAR per person,12/18/2024,2/15/2025,5:00 AM to 6:00 PM
HERO’S AWAY,"Slide like a hero! Feel the thrill as you slide down the custom firepole from the engine bay, firefighter style!",Riyadh,Above 12,120 SAR per person,12/18/2024,2/15/2025,6:00 AM to 7:00 PM
FLIGHT FUNHOUSE,"Let the kids’ imaginations soar! The flight fun house is a world of fun just for them, filled with interactive play and endless excitement.",Riyadh,Adults,90 SAR per person,12/18/2024,2/15/2025,5:00 AM to 7:00 PM
DROPZONE,Feel the freefall! Step into Dropzone and experience the excitement of a controlled freefall for an unforgettable rush.,Riyadh,Adults,150 SAR per person,12/18/2024,2/15/2025,6:00 AM to 8:00 PM
SONIC SLIDE,"Slide beneath the wing! Grab a snow tube and race down the Sonic Slide’s twists and turns for a wild, wind-in-your-face experience!",Riyadh,Above 12,70 SAR per person,12/18/2024,2/15/2025,5:30 AM to 7:30 PM
ALTITUDE DROP,"Take the leap! Feel the thrill as you drop from 12 meters high and land on soft, impact-absorbing tiles. This is no ordinary slide!",Riyadh,Above 12,30 SAR per person,12/18/2024,2/15/2025,7:00 AM to 9:00 PM
Sky War,A passenger plane laden with a treasure trove of gold has been hijacked by the infamous criminal organization known as the Nightmare Syndicate.,Riyadh,Above 12,20 SAR per person,12/17/2024,2/15/2025,6:30 AM to 8:30 PM
WINGTIP CLIMBER,Reach for the skies! Conquer the plane’s tail and experience the climb of a lifetime.,Riyadh,All,Free Pass,12/18/2024,2/15/2025,5:00 AM to 6:00 PM
CLOUD BOUNCE,Bounce to the skies! Jump on massive air trampolines and feel like you’re leaping above the clouds. It’s as close to flying as it gets!,Riyadh,Above 12,30 SAR per person,12/18/2024,2/15/2025,6:00 AM to 7:00 PM
Am Hussain,Am Hussain opens the doors of his aircraft for everyone to experience the delicious and authentic taste of Middle Eastern cuisine.,Riyadh,Above 12,Free Pass,12/18/2024,2/15/2025,5:00 AM to 7:00 PM
THE DISAPPEARANCE OF FLIGHT NO. 1661,"A plane is caught in a fierce storm that veers it off its usual course, propelling it into an alternate dimension dominated by hovering, ravenous ghosts. In this mysterious world teeming with terrifying surprises awaiting its passengers, the stakes have never been higher. Will the aircraft manage to navigate back to reality and land safely, or will it remain forever lost in this haunting realm? Gates close: 11 pm",Riyadh,Above 15,70 SAR per person,12/17/2024,2/15/2025,6:00 AM to 8:00 PM
Confluence of Saudi-Brazilian Culture - CONEXÃO,"The second edition of ( ?????? - CONEXÃO) brings an extraordinary artistic experience, hosted by the Royal Institute of Traditional Arts (wrth), featuring Brazil as the guest country. This event celebrates the rich cultural heritage of Saudi Arabia and Brazil, fostering a shared artistic space and creating a cultural intersection between their traditional arts. The event includes: 1- A Performance Between Two Nations Five chapters unfold the story! It begins with the encounter of two children representing Saudi Arabia and Brazil, leading to a harmonious flow of the show featuring five traditional Saudi dances and five Brazilian dances. The show concludes with a contemporary dance performed to a fusion of melodies blending both cultures. 2- A Collaborative ArtPiece  ""Harmony“ is a masterpiece co-created through the collaboration of a Saudi and a Brazilian artist. The artwork merges elements of traditional art from both nations, reflecting the unity of their cultural heritage. 3- Cultural Activations 10 interactive experiences designed to enrich knowledge in an engaging way, covering various aspects such as art, music, and food.",Riyadh,Adults,20 SAR per person,1/30/2025,2/1/2025,5:30 AM to 7:30 PM
The Illusionist,Experience the magic of the Illusionist Circus as part of Jeddah Calendar events! Enjoy mind-blowing illusions and spectacular performances that will amaze the entire family at Abadi Al Johar Arena from January 29 to February 1. Book your tickets now and get ready for a night of wonder and excitement!,Jeddah,Above 15,Free Pass,1/29/2025,2/1/2025,7:00 AM to 9:00 PM
At-Turaif Workshops,"At-Turaif workshops introduce traditional building techniques, ancient Diriyah doors, traditional Najdi interior decoration, ink making and other arts inspired by At-Turaif district and its rich culture.",Diriyah,Above 12,30 SAR per person,1/15/2025,3/29/2025,6:30 AM to 8:30 PM
Layali Maraya,"Layali Maraya is an exclusive open market showcasing Winter and Ramadan collections from renowned Arab designers. Hosted at the elegant Mansard Hotel in Riyadh on January 27th till the 29th, 2025, the event offers attendees a unique blend of fashion, culture, and artistry. Visitors can explore curated designs, connect with top talents, and enjoy a vibrant atmosphere complete with delightful refreshments.",Riyadh,Above 12,90 SAR per person,1/28/2025,1/29/2025,5:00 AM to 6:00 PM
Manga Hokusai Manga,"“Manga Hokusai Manga” is a traveling exhibition that explores the historical roots and global influence of manga. Beginning with Katsushika Hokusai’s pioneering drawings of the Edo period, the exhibition moves to contemporary works to reveal how this art form has evolved into a vibrant visual language enjoyed around the world. The exhibition allows visitors to discover the cultural dialogues that exist where past meets present, heritage meets creativity, and Japan’s artistic legacy resonates across borders.",Riyadh,Above 12,20 SAR per person,1/15/2025,2/8/2025,6:00 AM to 7:00 PM
PERFUMES WEEK,"Join us at Perfume Week, where the essence of tradition meets the latest innovations in the world of fragrances! Discover a wide range of luxurious perfumes and enjoy a unique experience that blends oriental and western scents to captivate your senses. Celebrate the art of perfumery with us, where every fragrance tells a story of creativity and beauty.",Jeddah,Above 15,70 SAR per person,2/6/2025,2/14/2025,5:00 AM to 7:00 PM
Life and Journey: Saad Alobaid,"The late artist Saad AlObaid's exhibition, which is held to revive his legacy, features more than 150 of his works and serves as a celebration of his distinguished career, filled with achievements and successes. The exhibition includes a rich program of talks, workshops, live painting, and a documentary on his fascinating life. The exhibition showcases the body of his works accomplished throughout his remarkable career to commemorate his memory and enhance the creativity and contemporary artistic vision he was known for. It aims to engage the local community in this vibrant art event and celebrate the career of the late artist Saad AlObaid while introducing his artistic works.",Riyadh,Above 12,60 SAR per person,1/18/2025,1/24/2025,6:00 AM to 8:00 PM
Doos Karting,The best go-karting experience in The largest multi-level circuit in the world.,Riyadh,Above 15,90 SAR per person,2/26/2025,2/26/2025,5:30 AM to 7:30 PM
Majlis At-Turaif,"Majlis At-Turaif includes a comprehensive cultural program that discusses the history and stories of Diriyah, in addition to facilities that introduce the importance of the concept of Al Majlis and hospitality in Saudi culture",Diriyah,Above 15,150 SAR per person,1/15/2025,3/31/2025,7:00 AM to 9:00 PM
Ardah,"The performance offers the visitors a unique engagement experience to grasp the spirit of Ardah aspects such as spoken poems, warriors’ attires and how it is rooted in Diriyah past, present, and future.",Diriyah,Above 12,20 SAR per person,1/17/2025,3/31/2025,6:30 AM to 8:30 PM
Live Poetry,Improvised poetry performances and heroic stories throughout the At-Turaif,Diriyah,All,30 SAR per person,1/15/2025,3/31/2025,5:00 AM to 6:00 PM
Arabian Horse Show,Highlighting the beauty and importance of purebred Arabian horses so that visitors can learn about the most important and famous breeds that we have inherited throughout history.,Diriyah,Above 12,70 SAR per person,1/15/2025,3/31/2025,6:00 AM to 7:00 PM
South West Cowboy Town,"Cowboy Town is a tourist town that offers many western experiences and authentic cowboy culture, including a cowboy show, a café area, and many distinctive children's games.",Riyadh,Above 12,Free Pass,1/8/2025,2/28/2025,5:00 AM to 7:00 PM
Art Must Be Artificial: Perspectives of AI in the Visual Arts exhibition,"The first exhibition at Diriyah Art Futures, ""Art Must Be Artificial: Perspectives of AI in the Visual Arts"", presents a sweeping history of the evolution of computational art, showcasing iconic algorithmic art spanning from the 1960s to the present day. The exhibition presents a survey of leading historic and current international artists using computational technology, including major Saudi artists. These pioneers are charting the evolution of the homo digitalis, the new human civilization we are experiencing. By posing questions around nature, technology and the creative process, their works help us to better understand the complexities and issues of our increasingly digital world. Children under 16 must be accompanied at all times. Children under 8 are not allowed in the exhibition. The exhibition is accompanied by a series of public programmes, including masterclasses, practical workshops, talks and performances.",Riyadh,Above 12,30 SAR per person,1/9/2025,1/9/2025,6:00 AM to 8:00 PM
Skiing Experience,"At Courchevel, enjoy an exciting skiing adventure with professional trainers by your side. Whether you're a beginner or just looking to have fun, our expert instructors will guide you through the basics and help improve your technique. We provide comfortable, tailored clothing for a seamless experience. It’s all about skiing for fun to make every moment unforgettable. Ready to hit the slopes? Your adventure awaits!",Riyadh,All,50 SAR per person,12/18/2024,2/28/2025,5:30 AM to 7:30 PM
Deadwood Mansion,Find out if you have what it takes to survive a zombie apocalypse. Work with your squad to escape Deadwood Mansion. Face your fears and battle a terrifying undead horde. Will you discover the mysteries of the mansion before it's too late?,Riyadh,Adults,20 SAR per person,1/9/2025,1/9/2025,7:00 AM to 9:00 PM
Historical Quest,An interactive treasure hunt where  visitors solve historical puzzles to  discover hidden treasures.,Diriyah,Above 12,40 SAR per person,2/6/2025,2/28/2025,6:30 AM to 8:30 PM
Hospitality,The hospitality that characterizes the people of Diriyah and the Kingdom of Saudi Arabia,Diriyah,All,50 SAR per person,1/15/2025,3/31/2025,5:00 AM to 6:00 PM
As-Samri Night,"Be entertained by As Samri: a joyful communal performance combining traditional poetry, rhythmic music and dance.",Diriyah,Adults,60 SAR per person,1/15/2025,3/27/2025,6:00 AM to 7:00 PM
Diriyah Remembrance,"It is an interactive theatrical show that tells the story of Diriyah. It will take the visitor on a journey through time and a tour between the gates of At-Turaif, telling the history of Diriyah, its imams, its heroes and how they defended the state with their lives.",Diriyah,Above 12,70 SAR per person,1/15/2025,3/28/2025,5:00 AM to 7:00 PM
Traditional games,Experience the excitement of traditional games in a captivating live demonstration,Diriyah,Above 15,20 SAR per person,1/18/2025,3/31/2025,6:00 AM to 8:00 PM
PUBG MOBILE,"Experience PUBG like never before! Join the warriors and participate in exciting laser battles, where the fittest survive. Experience realism in an atmosphere full of excitement and thrill, and be the last survivor in an unforgettable battle?",Riyadh,Adults,150 SAR per person,10/13/2024,2/28/2025,5:30 AM to 7:30 PM
CoComelon- Playdate,"At CoComelon Playdate, families create unforgettable memories as they step into the world of CoComelon. Meet JJ and Cody up close, and let your little ones learn, explore, and discover through interactive play designed just for them. It’s a chance for kids to engage in meaningful, hands-on experiences while parents enjoy watching their imaginations come to life. CoComelon Playdate isn’t just a visit it’s an experience that leaves families delighted, excited to return, and eager to book again.",Riyadh,All,20 SAR per person,11/4/2024,4/10/2025,7:00 AM to 9:00 PM
Luca Park,"“Luca Park” is the first dog park in Saudi Arabia, featuring both indoor and outdoor areas. We offer 12 unique services, including training, grooming, and more. Your dog can even enjoy playing in the water with our swimming pool. It’s the perfect place for you and your dog to play and socialize in a fun and safe environment.",Riyadh,All,Free Pass,12/22/2024,3/9/2025,6:30 AM to 8:30 PM
10/10 burger,"Step into the control tower and indulge your palate with the famous Mike Majlak burger, known for its rich flavor, fresh meat, and melted cheese.",Riyadh,Adults,20 SAR per person,12/17/2024,2/15/2025,5:00 AM to 6:00 PM
Death maze,Challenge unparalleled terror in the depths of an ancient Egyptian pyramid! Embark on a terrifying maze through dark corridors and haunted chambers filled with vengeful spirits. Test your courage against the traps of death and the wrath of the guardian mummies. Do you have the bravery to escape the darkness and save your soul?,Riyadh,Above 12,70 SAR per person,12/17/2024,4/10/2025,6:00 AM to 7:00 PM
Christian Dior : Designer of Dreams Exhibition,The Christian Dior| Designer of Dreams Exhibition opened at the Saudi National Museum Almurabaa,Riyadh,Above 12,10 SAR per person,11/26/2024,11/26/2024,5:00 AM to 7:00 PM
Top Shot,"Top shot is a sanctuary for airsoft enthusiasts, firearm collectors, and thrill-seekers craving an unmatched adrenaline rush. This tactical warfare experience elevates the thrill to new heights, where precision, strategy, and intensity converge. At Top shot, you’ll immerse yourself in a world of military precision and authentic combat scenarios, designed to challenge even the most seasoned players.",Riyadh,Above 15,120 SAR per person,10/13/2024,10/13/2024,6:00 AM to 8:00 PM
Mystery of the Nile,"Discover the secret of the Nile's wrath and prepare to face its wrath that emanates from the depths of history and embark on a terrifying journey inside the ancient Egyptian tombs, redefining the meaning of fear before your eyes.",Riyadh,Above 15,30 SAR per person,10/13/2024,10/13/2024,5:30 AM to 7:30 PM
Detective Conan,Be the detective and discover the secrets of the crime and try to find the treasure. Overcome the challenges and solve the puzzles through several stages and interactive activities that take you to the mysterious and exciting world of Detective Conan.?,Riyadh,Above 12,150 SAR per person,10/13/2024,10/13/2024,7:00 AM to 9:00 PM
"Bluey ""Dream land"" ?","Embark on endless adventures with Bluey and Bingo in the amazing world of dreams, where fairy tales become reality.?",Riyadh,Above 12,30 SAR per person,10/13/2025,10/13/2025,6:30 AM to 8:30 PM
Five Nights At Freddy’s “Security Breach”?,"In the new version of Five Nights at Freddy's, the level of horror and challenges has risen to new unprecedented levels, so you must overcome them to survive. Will you be able to survive and get out of the mall safely??",Riyadh,All,40 SAR per person,10/13/2025,10/13/2025,5:00 AM to 6:00 PM
Greece Villas,"The VIP experience at Boulevard World offers a luxurious and exclusive space for guests to stay in the Greece area, allowing them to enjoy the best events and activities in Boulevard World with added comfort. Guests are accompanied by a dedicated hostess and personal butler who manage their visit, ensuring a seamless and enjoyable shopping and entertainment experience, while they relax and unwind in the villa's lavish facilities during breaks.",Riyadh,Above 12,30 SAR per person,11/4/2024,4/10/2025,6:00 AM to 7:00 PM
BLVD Forest,BLVD Forest returns with rare exotic animals in a new African-inspired setting. Enjoy interactive wildlife experiences!,Riyadh,Adults,40 SAR per person,10/13/2024,10/13/2024,5:00 AM to 7:00 PM
